iter	Passed	Remaining
1601	40080	9957
1602	40103	9932
1603	40128	9907
1604	40152	9881
1605	40174	9855
1606	40198	9830
1607	40222	9805
1608	40244	9779
1609	40268	9754
1610	40292	9729
1611	40317	9704
1612	40343	9679
1613	40367	9654
1614	40399	9630
1615	40422	9605
1616	40447	9580
1617	40468	9554
1618	40494	9529
1619	40515	9503
1620	40542	9479
1621	40568	9454
1622	40595	9429
1623	40616	9403
1624	40639	9378
1625	40662	9352
1626	40688	9328
1627	40708	9301
1628	40731	9276
1629	40754	9251
1630	40780	9226
1631	40805	9201
1632	40827	9175
1633	40853	9150
1634	40875	9125
1635	40895	9098
1636	40917	9073
1637	40942	9048
1638	40966	9023
1639	40984	8996
1640	41009	8971
1641	41035	8946
1642	41054	8920
1643	41078	8895
1644	41099	8869
1645	41125	8844
1646	41151	8819
1647	41171	8793
1648	41192	8768
1649	41218	8743
1650	41242	8718
1651	41264	8692
1652	41289	8667
1653	41312	8642
1654	41333	8616
1655	41359	8591
1656	41379	8565
1657	41403	8540
1658	41428	8515
1659	41455	8490
1660	41475	8464
